sorszam;kifejezes;volumen;novekedes_pct;trend_indult_utc;trend_veget_ert_utc;aktiv;kapcsolodo_kifejezesek;temak;normalizalt_kifejezes;letoltve_utc;forras;geo
1;autóversenyző;10000;1000;2026-07-23T14:20:00+00:00;;igen;autóversenyző;Sports;autoversenyzo;2026-07-23T17:45:50+00:00;trending_now;HU
2;twente–ftc;5000;1000;2026-07-23T17:10:00+00:00;;igen;twente–ftc;Sports;twente–ftc;2026-07-23T17:45:50+00:00;trending_now;HU
3;hír;10000;1000;2026-07-23T06:20:00+00:00;;igen;hír;Law and Government, Politics;hir;2026-07-23T17:45:50+00:00;trending_now;HU
4;ponthatárok 2026;5000;500;2026-07-22T20:00:00+00:00;;igen;ponthatárok 2026, felvételi ponthatárok 2026, felvi ponthatárok 2026, felvi, felveteli ponthatarok 2026, egyetemi felvételi eredmények 2026, felvi ponthatárok 2026 kihirdetése, ponthatarok 2026;Jobs and Education;ponthatarok 2026;2026-07-23T17:45:50+00:00;trending_now;HU
5;lakáshitel;5000;1000;2026-07-23T05:10:00+00:00;;igen;lakáshitel, hitel;Other;lakashitel;2026-07-23T17:45:50+00:00;trending_now;HU
6;varga judit;10000;1000;2026-07-23T10:10:00+00:00;;igen;varga judit, balatonhenye, balatonhenye varga judit ingatlan, balatonhenye eladó ház;Other;varga judit;2026-07-23T17:45:50+00:00;trending_now;HU
7;dvsc–pjunik;2000;1000;2026-07-23T15:50:00+00:00;;igen;dvsc–pjunik, dvsc, dvsc meccs, dzsudzsák balázs;Sports;dvsc–pjunik;2026-07-23T17:45:50+00:00;trending_now;HU
8;kocsis máté;2000;1000;2026-07-23T11:40:00+00:00;;igen;kocsis máté;Law and Government, Business and Finance;kocsis mate;2026-07-23T17:45:50+00:00;trending_now;HU
9;forint;5000;1000;2026-07-23T08:40:00+00:00;;igen;forint, euro forint árfolyam;Other;forint;2026-07-23T17:45:50+00:00;trending_now;HU
10;mérges kígyó;5000;1000;2026-07-23T02:40:00+00:00;;igen;mérges kígyó;Other;merges kigyo;2026-07-23T17:45:50+00:00;trending_now;HU
11;margit híd;1000;1000;2026-07-23T15:40:00+00:00;;igen;margit híd;Other;margit hid;2026-07-23T17:45:50+00:00;trending_now;HU
12;mesterséges intelligencia;2000;1000;2026-07-23T04:00:00+00:00;;igen;mesterséges intelligencia, intelligencia;Other;mesterseges intelligencia;2026-07-23T17:45:50+00:00;trending_now;HU
13;kézigránát;2000;1000;2026-07-23T10:00:00+00:00;;igen;kézigránát, központi nyomozó főügyészség, baleset;Law and Government;kezigranat;2026-07-23T17:45:50+00:00;trending_now;HU
14;barack obama;2000;1000;2026-07-22T22:40:00+00:00;;igen;barack obama;Other;barack obama;2026-07-23T17:45:50+00:00;trending_now;HU
15;bama.hu;2000;1000;2026-07-22T18:40:00+00:00;;igen;bama.hu;Other;bama.hu;2026-07-23T17:45:50+00:00;trending_now;HU
16;ausztria;1000;1000;2026-07-23T11:20:00+00:00;;igen;ausztria;Other;ausztria;2026-07-23T17:45:50+00:00;trending_now;HU
17;szatmáry kristóf;500;1000;2026-07-23T14:10:00+00:00;;igen;szatmáry kristóf;Politics, Law and Government;szatmary kristof;2026-07-23T17:45:50+00:00;trending_now;HU
18;oszter sándor;2000;1000;2026-07-23T09:00:00+00:00;;igen;oszter sándor;Entertainment;oszter sandor;2026-07-23T17:45:50+00:00;trending_now;HU
19;schiffer andrás;500;1000;2026-07-23T14:20:00+00:00;;igen;schiffer andrás;Politics;schiffer andras;2026-07-23T17:45:50+00:00;trending_now;HU
20;qarabag–cszka szófia;500;1000;2026-07-23T16:10:00+00:00;;igen;qarabag–cszka szófia;Sports;qarabag–cszka szofia;2026-07-23T17:45:50+00:00;trending_now;HU
21;kardszárnyú delfin;500;1000;2026-07-23T13:10:00+00:00;;igen;kardszárnyú delfin;Entertainment, Hobbies and Leisure, Pets and Animals;kardszarnyu delfin;2026-07-23T17:45:50+00:00;trending_now;HU
22;jeffrey epstein;500;600;2026-07-23T10:00:00+00:00;;igen;jeffrey epstein;Law and Government;jeffrey epstein;2026-07-23T17:45:50+00:00;trending_now;HU
23;pécsi ármin;500;300;2026-07-23T13:20:00+00:00;;igen;pécsi ármin;Sports;pecsi armin;2026-07-23T17:45:50+00:00;trending_now;HU
24;klebelsberg központ;200;800;2026-07-23T14:40:00+00:00;;igen;klebelsberg központ;Other;klebelsberg kozpont;2026-07-23T17:45:50+00:00;trending_now;HU
25;pénz;5000;1000;2026-07-23T13:00:00+00:00;2026-07-23T15:40:00+00:00;nem;pénz;Business and Finance;penz;2026-07-23T17:45:50+00:00;trending_now;HU
26;villám;200;1000;2026-07-23T16:50:00+00:00;;igen;villám;Other;villam;2026-07-23T17:45:50+00:00;trending_now;HU
27;formula 1 magyar nagydíj;500;1000;2026-07-23T17:20:00+00:00;;igen;formula 1 magyar nagydíj, forma 1 magyar nagydíj, formula–1 magyar nagydíj;Other;formula 1 magyar nagydij;2026-07-23T17:45:50+00:00;trending_now;HU
28;marco rossi;500;1000;2026-07-22T20:00:00+00:00;;igen;marco rossi;Sports;marco rossi;2026-07-23T17:45:50+00:00;trending_now;HU
29;ted turner;100;1000;2026-07-23T17:20:00+00:00;;igen;ted turner;Business and Finance, Hobbies and Leisure, Pets and Animals;ted turner;2026-07-23T17:45:50+00:00;trending_now;HU
30;pócs jános;5000;1000;2026-07-23T05:00:00+00:00;2026-07-23T12:30:00+00:00;nem;pócs jános;Other;pocs janos;2026-07-23T17:45:50+00:00;trending_now;HU
31;economx;100;600;2026-07-23T17:00:00+00:00;;igen;economx;Politics;economx;2026-07-23T17:45:50+00:00;trending_now;HU
32;konferencia liga;100;400;2026-07-23T16:50:00+00:00;;igen;konferencia liga;Sports;konferencia liga;2026-07-23T17:45:50+00:00;trending_now;HU
33;vényköteles gyógyszer;1000;1000;2026-07-23T13:00:00+00:00;2026-07-23T17:30:00+00:00;nem;vényköteles gyógyszer, gyógyszer, vényköteles gyógyszerek áfája;Other;venykoteles gyogyszer;2026-07-23T17:45:50+00:00;trending_now;HU
34;magyar másodosztályú labdarúgó-bajnokság;1000;1000;2026-07-23T12:10:00+00:00;2026-07-23T17:40:00+00:00;nem;magyar másodosztályú labdarúgó-bajnokság, csakfoci;Sports;magyar masodosztalyu labdarugo-bajnoksag;2026-07-23T17:45:50+00:00;trending_now;HU
35;augusztus;1000;1000;2026-07-22T19:40:00+00:00;2026-07-23T12:20:00+00:00;nem;augusztus;Climate;augusztus;2026-07-23T17:45:50+00:00;trending_now;HU
36;garancsi istván;1000;1000;2026-07-23T08:50:00+00:00;2026-07-23T17:10:00+00:00;nem;garancsi istván, kaszinó, kaszino;Other;garancsi istvan;2026-07-23T17:45:50+00:00;trending_now;HU
37;javítóintézet;500;700;2026-07-23T08:50:00+00:00;2026-07-23T15:40:00+00:00;nem;javítóintézet;Law and Government;javitointezet;2026-07-23T17:45:50+00:00;trending_now;HU
38;szakképzés;500;1000;2026-07-23T08:40:00+00:00;2026-07-23T15:20:00+00:00;nem;szakképzés;Other;szakkepzes;2026-07-23T17:45:50+00:00;trending_now;HU
39;magyarország;5000;1000;2026-07-23T04:50:00+00:00;2026-07-23T06:50:00+00:00;nem;magyarország;Business and Finance;magyarorszag;2026-07-23T17:45:50+00:00;trending_now;HU
40;inter miami–chicago fire;1000;1000;2026-07-23T00:20:00+00:00;2026-07-23T09:30:00+00:00;nem;inter miami–chicago fire;Sports;inter miami–chicago fire;2026-07-23T17:45:50+00:00;trending_now;HU
41;cameron menzies;1000;700;2026-07-22T20:00:00+00:00;2026-07-23T17:20:00+00:00;nem;cameron menzies;Sports;cameron menzies;2026-07-23T17:45:50+00:00;trending_now;HU
42;balaton átúszás 2026;1000;600;2026-07-23T08:00:00+00:00;2026-07-23T12:00:00+00:00;nem;balaton átúszás 2026, balatonátúszás 2026;Other;balaton atuszas 2026;2026-07-23T17:45:50+00:00;trending_now;HU
43;németh balázs;200;500;2026-07-23T13:50:00+00:00;2026-07-23T16:30:00+00:00;nem;németh balázs;Politics;nemeth balazs;2026-07-23T17:45:50+00:00;trending_now;HU
44;dvtk;100;600;2026-07-23T15:40:00+00:00;2026-07-23T17:00:00+00:00;nem;dvtk;Sports;dvtk;2026-07-23T17:45:50+00:00;trending_now;HU
45;daniel siad;500;800;2026-07-23T06:50:00+00:00;2026-07-23T12:30:00+00:00;nem;daniel siad;Law and Government;daniel siad;2026-07-23T17:45:50+00:00;trending_now;HU
46;zárug péter farkas;500;800;2026-07-23T05:00:00+00:00;2026-07-23T11:20:00+00:00;nem;zárug péter farkas;Other;zarug peter farkas;2026-07-23T17:45:50+00:00;trending_now;HU
47;orbán viktor;500;700;2026-07-23T14:20:00+00:00;2026-07-23T15:50:00+00:00;nem;orbán viktor;Business and Finance;orban viktor;2026-07-23T17:45:50+00:00;trending_now;HU
48;palvin barbara;1000;800;2026-07-22T19:30:00+00:00;2026-07-23T07:40:00+00:00;nem;palvin barbara;Entertainment, Beauty and Fashion;palvin barbara;2026-07-23T17:45:50+00:00;trending_now;HU
49;üzemanyagár;500;700;2026-07-23T06:40:00+00:00;2026-07-23T10:30:00+00:00;nem;üzemanyagár, benzin ára;Business and Finance;uzemanyagar;2026-07-23T17:45:50+00:00;trending_now;HU
50;időjárás debrecen;100;300;2026-07-23T15:40:00+00:00;2026-07-23T16:30:00+00:00;nem;időjárás debrecen;Other;idojaras debrecen;2026-07-23T17:45:50+00:00;trending_now;HU
51;július 23;500;500;2026-07-22T20:10:00+00:00;2026-07-23T12:00:00+00:00;nem;július 23;Other;julius 23;2026-07-23T17:45:50+00:00;trending_now;HU
