sorszam;kifejezes;hir_cim;hir_forras;hir_url;hir_ido_utc;hir_kep;hir_kivonat
1;formula 1 magyar nagydíj;Bárányhimlő, csajok, törött trófea – képeken az F1-es Magyar Nagydíjak;Vezess;https://www.vezess.hu/forma-1/2026/07/23/baranyhimlo-csajok-torott-trofea-kepeken-az-f1-es-magyar-nagydijak/;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtlU4ytUiisJDbJcRMIBfLR8WIqJethO8gmEdi9m6gqWQc76xhO3UckOvvU-s;
1;formula 1 magyar nagydíj;Hungaroring-jegyárak: döbbenetes összeget kell fizetni a legjobb helyekért a hétvégi Formula–1-es Magyar Nagydíjra – már csak az utolsó belépők maradtak;Világgazdaság;https://www.vg.hu/vilaggazdasag-magyar-gazdasag/2026/07/hungaroring-jegyar-belepo-forma-1-mogyorod;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDTui6knXOt80cQ3tlhRSoclpTUybUaXtg-qyhBzGO2h6pcZgkrlkEKbYRVI8;
1;formula 1 magyar nagydíj;Megsülünk vagy elázunk a Forma-1-es Magyar Nagydíj hétvégéjén?;Időkép;https://www.idokep.hu/hirek/megsulunk-vagy-elazunk-a-forma-1-es-magyar-nagydij-hetvegejen;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRXHHG_kQ7roadJE53msKSUcAWc--AHCEfCW5CdB_fk7Qdmb0zrpkMtgn8Ysio;
2;ted turner;Elhunyt a médiamágnás földbirtokos;Agrárágazat;https://agraragazat.hu/hir/ted-turner-oroksege-bolenyek-mezogazdasag/;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ8qubRus6CNWZx6J6OMPKiwEOxtZw7W-ObXqrnufCkrqU6gsdFBypYxt5hnZI;
2;ted turner;Vermejo, a Ted Turner Reserve, Celebrates 30 Years of Conservation Success;GlobeNewswire;https://www.globenewswire.com/news-release/2026/07/21/3330717/0/en/vermejo-a-ted-turner-reserve-celebrates-30-years-of-conservation-success.html;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcStEtKaBwOrWCHMTUddqeN28-pjy3GOfv0zEBuyiXmz2IRpJe3qM2VNsVTmgT8;
3;twente–ftc;Keita nélkül a zöld-fehérek – megvannak a kezdőcsapatok a Twente–FTC Európa-liga-mérkőzésre;Nemzeti Sport;https://www.nemzetisport.hu/europa-liga/2026/07/keita-nelkul-a-zold-feherek-megvannak-a-kezdocsapatok-a-twente-ftc-europa-liga-merkozesre;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR5Y-YoYEwXNdYhB7CIJDfm1uOZD5B_N4J7loPuYo_ogNtqYNX0JdcbLBFVPK4;
3;twente–ftc;"Kristoffer Zachariassen: „A legjobbunkra lesz szükség&quot;";Fradi.hu;https://www.fradi.hu/labdarugas/elso-csapat/hirek/kristoffer-zachariassen-a-legjobbunkra-lesz-szukseg;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRuj3CodQhFbB1RYllZH4ezBBNylehGwp5PsvWB3oBL1dfyu-moLcVinjweN0w;
3;twente–ftc;A Sport1 közvetíti a Ferencváros következő Európa Liga-selejtezőjét;Sport TV;https://www.sport1tv.hu/sztori/121533/a-sport1-kozvetiti-a-ferencvaros-kovetkezo-europa-liga-selejtezojet/;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMJy0zM9rqqR_9Z6saxhQZrKKeskpoK5y5dF4hIcoqkZdbnwktR6ld8S8DkD4;
4;economx;Egy utas elsírta magát Orbán Viktor láttán a Wizz Air-gépen;24.hu;https://24.hu/belfold/2026/07/23/orban-viktor-wizz-air-tusvanyos-fapados/;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ8qbX2gVjtmIdY-iNLv6r1WFc6XQwkOXCHIQqsVdutyql5q9gRAsV2UtVJtc;
4;economx;Itthon: Videó: Orbán Viktor fapadosra ült, egy nő elsírta magát, úgy meghatódott tőle;| hvg.hu;https://hvg.hu/itthon/20260723_orban-viktor-utra-kelt-napszemuveg-utlevel-megvan-irany-tusnad;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-DHCQ1ORlXLMEwa5omSZLz4fLXkHr7kpzKzSo9KpH7ZvsVMCOEddpSCU9u2g;
