sorszam;kifejezes;volumen;kapcsolodo_kifejezesek;trend_indult_utc;kep_url;kep_forras;hirek_szama;letoltve_utc;forras;geo
1;formula 1 magyar nagydíj;500+;;2026-07-23T17:20:00+00:00;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtlU4ytUiisJDbJcRMIBfLR8WIqJethO8gmEdi9m6gqWQc76xhO3UckOvvU-s;Vezess;3;2026-07-23T17:45:50+00:00;rss;HU
2;ted turner;100+;;2026-07-23T17:20:00+00:00;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ8qubRus6CNWZx6J6OMPKiwEOxtZw7W-ObXqrnufCkrqU6gsdFBypYxt5hnZI;Agrárágazat;2;2026-07-23T17:45:50+00:00;rss;HU
3;twente–ftc;5000+;;2026-07-23T17:10:00+00:00;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR5Y-YoYEwXNdYhB7CIJDfm1uOZD5B_N4J7loPuYo_ogNtqYNX0JdcbLBFVPK4;Nemzeti Sport;3;2026-07-23T17:45:50+00:00;rss;HU
4;economx;100+;;2026-07-23T17:00:00+00:00;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ8qbX2gVjtmIdY-iNLv6r1WFc6XQwkOXCHIQqsVdutyql5q9gRAsV2UtVJtc;24.hu;3;2026-07-23T17:45:50+00:00;rss;HU
5;villám;200+;;2026-07-23T16:50:00+00:00;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwccpXovfc3CZB-FC1qYmjRLYbZPfGLUYEcXytvP0703GbGUfWoVs6dHNYdCU;Vietnam.vn;3;2026-07-23T17:45:50+00:00;rss;HU
6;konferencia liga;100+;;2026-07-23T16:50:00+00:00;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRQh_U14n6BXjyxhIgNXxJde6vLSQ8H55069gmqaJVEKy7PZUKWhuONCV2TuKY;Nemzeti Sport;3;2026-07-23T17:45:50+00:00;rss;HU
7;qarabag–cszka szófia;500+;;2026-07-23T16:10:00+00:00;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQmmdPdxkI40ofKRHWkYoxKc0YBFLt4enZfFEIKm1gxoSHsVU57qL1GuPsquF4;Eurosport;3;2026-07-23T17:45:50+00:00;rss;HU
8;dvsc–pjunik;2000+;;2026-07-23T15:50:00+00:00;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQCh2Vu1B5gPAMVWQVhbicgBnlWmvDoGx76fQKH6VAtBD_IsWmF6VrawYqtJ9g;Nemzeti Sport;3;2026-07-23T17:45:50+00:00;rss;HU
9;margit híd;1000+;;2026-07-23T15:40:00+00:00;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTq3Wkw3mocZMwjFbblx8Os-BlSq1YD2WApYQLEgOCXvH4fFEg_chvTxVQM9b0;Index.hu;3;2026-07-23T17:45:50+00:00;rss;HU
10;dvtk;100+;;2026-07-23T15:40:00+00:00;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSuitMFxRuidB2uw-yOJjiAb0lcJrbguI1jCy4seQAzwiwVuf0gY5yYyL54z_k;Hirnavigator;3;2026-07-23T17:45:50+00:00;rss;HU
